id_,url,title,author,author_url,book_type,published_date,isbn_10,pages,original_price,disc_price,prod_det_dict
9780141959153,https://www.booktopia.com.au/ebook/9780141959153.html,Captain Hornblower R.N.,C.S. Forester,https://www.booktopia.com.au/search?author=C.S.+Forester,eBook , 1 January 2000, 0141959150,576,,$15.99,"{'ISBN': ' 9780141959153', 'ISBN-10': ' 0141959150', 'Series': ' A Horatio Hornblower Tale of the Sea', 'Published': ' 1st January 2000', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 576', 'Audience': ' General Adult', 'Publisher': ' Penguin Books Ltd'}"
9780241410967,https://www.booktopia.com.au/ebook/9780241410967.html,It's Not OK to Feel Blue (and other lies),Scarlett Curtis,https://www.booktopia.com.au/search?author=Scarlett+Curtis,eBook , 3 October 2019, 0241410967,576,,$12.99,"{'ISBN': ' 9780241410967', 'ISBN-10': ' 0241410967', 'Series': ' And Other Lies', 'Published': ' 3rd October 2019', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 576', 'Audience': ' General Adult', 'For Ages': ' 12 - 18 years old', 'Publisher': "" Penguin Random House Children's UK""}"
9780241242643,https://www.booktopia.com.au/ebook/9780241242643.html,The Book of Why,Judea Pearl,https://www.booktopia.com.au/search?author=Judea+Pearl,eBook , 15 May 2018,241242649,400,,$16.99,"{'ISBN': ' 9780241242643', 'ISBN-10': ' 0241242649', 'Series': ' Actiphons', 'Published': ' 15th May 2018', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 400', 'Audience': ' General Adult', 'Publisher': ' Penguin Books Ltd'}"
9780241379011,https://www.booktopia.com.au/ebook/9780241379011.html,Couples That Work,Jennifer Petriglieri,https://www.booktopia.com.au/search?author=Jennifer+Petriglieri,eBook , 10 October 2019,241379016,304,,$18.99,"{'ISBN': ' 9780241379011', 'ISBN-10': ' 0241379016', 'Published': ' 10th October 2019', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 304', 'Audience': ' General Adult', 'Publisher': ' Penguin Books Ltd'}"
9780575088436,https://www.booktopia.com.au/ebook/9780575088436.html,Time of Contempt,Andrzej Sapkowski,https://www.booktopia.com.au/search?author=Andrzej+Sapkowski,eBook , 24 June 2013,575088435,320,,$12.99,"{'ISBN': ' 9780575088436', 'ISBN-10': ' 0575088435', 'Series': ' The Witcher   Book 8', 'Published': ' 24th June 2013', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 320', 'Audience': ' General Adult', 'Publisher': ' Orion', 'Volume Number': ' 8', 'Edition Type': ' Digital original'}"
9781101117996,https://www.booktopia.com.au/ebook/9781101117996.html,The Divine Comedy,Dante Alighieri,https://www.booktopia.com.au/search?author=Dante+Alighieri,eBook , 27 May 2003,1101117990,928,$25.70,$15.99,"{'ISBN': ' 9781101117996', 'ISBN-10': ' 1101117990', 'Published': ' 27th May 2003', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 928', 'Publisher': ' Penguin Publishing Group'}"
9780755373970,https://www.booktopia.com.au/ebook/9780755373970.html,No One Left To Tell (The Baltimore Series Book 2),Karen Rose,https://www.booktopia.com.au/search?author=Karen+Rose,eBook , 5 January 2012,755373979,451,,$11.99,"{'ISBN': ' 9780755373970', 'ISBN-10': ' 0755373979', 'Series': ' Baltimore Series   Book 2', 'Published': ' 5th January 2012', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 451', 'Audience': ' General Adult', 'Publisher': ' Headline', 'Volume Number': ' 2', 'Edition Type': ' Digital original'}"
9781407035536,https://www.booktopia.com.au/ebook/9781407035536.html,Strata,Terry Pratchett,https://www.booktopia.com.au/search?author=Terry+Pratchett,eBook , 24 November 2009,1407035533,288,,$14.99,"{'ISBN': ' 9781407035536', 'ISBN-10': ' 1407035533', 'Published': ' 24th November 2009', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 288', 'Audience': ' General Adult', 'Publisher': ' Transworld'}"
9780141957869,https://www.booktopia.com.au/ebook/9780141957869.html,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,https://www.booktopia.com.au/search?author=Ha-Joon+Chang,eBook , 2 September 2010,141957867,304,,$15.99,"{'ISBN': ' 9780141957869', 'ISBN-10': ' 0141957867', 'Published': ' 2nd September 2010', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 304', 'Audience': ' Professional and Scholarly', 'Publisher': ' Penguin Books Ltd'}"
9780646987286,https://www.booktopia.com.au/ebook/9780646987286.html,How I Became The Fittest Woman On Earth,Tia-Clair Toomey,https://www.booktopia.com.au/search?author=Tia-Clair+Toomey,eBook , 22 January 2018 ,646987283,202,,$16.99,"{'ISBN': ' 9780646987286', 'ISBN-10': ' 0646987283', 'Published': ' 22nd January 2018', 'Format': ' ePUB', 'Language': ' English', 'Number of Pages': ' 202', 'Audience': ' Professional and Scholarly', 'Publisher': ' BL SOUTHWICK PUBLISHING PTY LTD', 'Edition Number': ' 1'}"
